Path,Size
mobile/android/build.gradle,437
mobile/android/gradle.properties,81
mobile/android/settings.gradle,791
mobile/assets/immich-logo-android-adaptive-icon.png,6176
mobile/assets/immich-logo-inline-dark.png,58890
mobile/assets/immich-logo-inline-dark.svg,5687
mobile/assets/immich-logo-inline-light.png,58826
mobile/assets/immich-logo-inline-light.svg,5627
mobile/assets/immich-logo-w-bg-android.png,131376
mobile/assets/immich-logo-w-bg.png,100555
mobile/assets/immich-logo.json,30448
mobile/assets/immich-logo.png,104833
mobile/assets/immich-logo.svg,1986
mobile/assets/immich-splash-android12.png,25236
mobile/assets/immich-splash.png,10818
mobile/assets/immich-text-dark.png,36878
mobile/assets/immich-text-light.png,36839
mobile/assets/lighthouse.png,45994
mobile/assets/location-pin.png,23260
mobile/fonts/Inconsolata-Regular.ttf,97864
mobile/ios/.gitignore,590
mobile/ios/Gemfile,46
mobile/ios/Gemfile.lock,5962
mobile/ios/Podfile,3680
mobile/ios/Podfile.lock,6815
mobile/lib/main.dart,7505
mobile/openapi/.gitignore,196
mobile/openapi/.openapi-generator-ignore,1040
mobile/openapi/.travis.yml,203
mobile/openapi/README.md,28878
mobile/openapi/git_push.sh,1830
mobile/openapi/pubspec.yaml,308
mobile/scripts/check_i18n_keys.py,430
mobile/scripts/check_key_uniform.py,857
mobile/scripts/fdroid_build_isar.sh,710
mobile/test/mock_http_override.dart,2247
mobile/test/test_utils.dart,2668
mobile/test/widget_tester_extensions.dart,814
open-api/bin/generate-open-api.sh,1474
open-api/patch/api.dart.patch,229
open-api/patch/api_client.dart.patch,1079
open-api/typescript-sdk/.npmignore,37
open-api/typescript-sdk/README.md,577
open-api/typescript-sdk/package-lock.json,1794
open-api/typescript-sdk/package.json,702
open-api/typescript-sdk/tsconfig.json,266
server/bin/immich-admin,59
server/bin/immich-dev,107
server/resources/style-dark.json,48516
server/resources/style-light.json,50633
server/src/app.module.ts,3201
server/src/config.ts,10110
server/src/constants.ts,4823
server/src/database.config.ts,1374
server/src/decorators.ts,6024
server/src/main.ts,1513
server/src/validation.ts,4133
server/test/global-setup.js,60
web/bin/immich-web,210
web/src/app.css,3091
web/src/app.d.ts,760
web/src/app.html,1958
